id,sentence1,domain,label
501,"I am a man, but I feel most qualified to make healthcare decisions for women.   #ThingsYouDontSayAsAPolitician #SemST",abortion,against
502,What about the equal rights of unborn humans in which about 1% could grow up to be LGBT? @user #LoveWins #SemST,abortion,against
503,On my bday I'm always so grateful to my bio parents who gave me up for #adoption #nochoiceisevereasy #SemST,abortion,against
504,The world is waking up to the fact that killing babies is wrong. No matter what. #ProLifeYouth #SemST,abortion,against
505,"Took God, discipline & tobacco out, made ^airtight & filled homes w/^CO2 cuz of energy & climate lies. Evil & energy use soared. #SemST",abortion,none
506,Part of our celebration will be dancing our butts off to a LGBTQIA pride inspired playlist. What songs should we add to our list? #SemST,abortion,none
507,RT @user When is abortion a responsible choice? When a woman chooses it to be #SemST,abortion,favor
508,@user we may disagree but I love ya man I don't want hard feelings #SemST,abortion,none
509,Americans clearly support family planning. Cutting Title X is wrong #ProtectPrevention #savetitleX #SemST,abortion,favor
510,"How can you be ""against abortion"" and also want to take away all the free birth control clinics for the poor? How? #SemST",abortion,favor
511,@user of course we want the Feds to puff puff pass! #TeamBuck #warondrugs #SemST,abortion,none
512,@user @user @user @user           /gags Dat face. #SemST,abortion,against
513,The #right to #life should be the #first among #humanrights -Pope Francisyouthgen #SemST,abortion,against
514,Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO.,abortion,against
515,The Supreme Court justices are on fire this week #LoveWins #SemST,abortion,none
516,"@user ""if u had been my wife I would have blow your head off."" Yep, that sound like #ElSalvador #SemST",abortion,none
517,"Manipulation, Disguise, & Evil is always seen by the out-come. The Ugly Doors of Satan appear in all forms when it's Fake Love. #SemST",abortion,none
518,Good reminder that over 57 million children have never been granted the opportunity to share the air we breath. #Equality #SemST,abortion,against
519,I refuse 2comply w/Bad laws. Just Because #SCOTUS forced laws on us does NOT make them right. They force bad laws on us: #SemST,abortion,none
520,"Just like abortion, even though SCOTUS says gay marriage is legal doesn't make it moral. #SCOTUSMarriage #FreedomOfReligion #SemST",abortion,against
521,Abortion does not prevent rape. Kittington #SemST,abortion,against
522,Of mothers advising their daughter's to abort are insane! It's unacceptable!! #Condoms #ItsNotOnItsNotSafe #SemST,abortion,against
523,People who want kids can b prochoice. U don't have to want an abortion to b prochoice. People who had a miscarriage can b prochoice #SemST,abortion,favor
524,You can't kill someone cause you claim you made a mistake. If true nobody would go to jail for killing their spouse.,abortion,against
525,Praise to District Court Judge Larry Hendricks for blocking that ridiculous anti-abortion law in Kansas #SemST,abortion,favor
526,"How can I continue to say ""God bless America"" when this country continues to approve and glorify things in opposition to Him? #SSM #SemST",abortion,against
527,@user just a reminder that you are awful in every way and do not represent me. #prolove #proeducation #prohealthcare #SemST,abortion,none
528,"Good morning Patriots, let us continue to Pray for this great Nation and the #UnBorn on this great day God has given us!! #ccot #SemST",abortion,against
529,Had a great meeting today with two guys who I know are reading this tweet... Welcome to the team! Excited to expand Team Sobhy!!  #SemST,abortion,none
530,"@user @user @user you Cora ignore that IRE export the 'problem',to UK @user #itwontgoaway #repealthe8th #SemST",abortion,none
531,It's a good day to be alive :) everyone deserves to have the choice to marry the person they love! #LoveWins #EqualityForAll #SemST,abortion,none
532,They know what's best for their safety. #SemST,abortion,favor
533,"Why do you cry when a dog dies in a movie, but it doesn't seem to phase you that so many babies die because of abortion?  #SemST",abortion,against
534,Hadn't seen October Baby until the other night. Had me crying thru the whole thing...I don't cry at movies. So touching! #adoption #SemST,abortion,against
535,Off to the #clinic this morning. 2015 and we still have to chase away anti-choice nutters harassing our patients. #SemST,abortion,favor
536,if it wasn't for harry all my favorite characters would still be alive #SemST,abortion,none
537,"Well now that marriage is out of the way we can focus on abolishing abortion, stoping the murders of unborn children #SemST",abortion,against
538,"It's not #yourbody, so it's not your #choice.youthgen #SemST",abortion,favor
539,"Without #life, the right to liberty and the pursuit of happiness aren't possible. #ProLifeYouth #AllLivesMatter #SemST",abortion,against
540,#PeoplesDebate Juvenile hysterics from that woman. Killing babies is bodily autonomy? People dying of neglect but lets have #VinB #SemST,abortion,against
541,@user @user @user @user @user Hypocrisy: saying #LoveWins while supporting #QuitKillingGirls #SemST,abortion,none
542,"Thanks for gently spoken truth,  @user ! How DO we as a nation ""protect the innocent""? #TheFive #CCOT #DNC #RNC #SemST",abortion,against
543,"#Love does not delight in #evil, but #rejoices in the #truth ~1 Cor 3:6 #Loving requires always speaking truth #ProtestChildKilling #SemST",abortion,against
544,"One, we are pro life Two, a little bit louder Three, I still can't hear you  Four, more more moreYouth #SemST",abortion,against
545,It is not progressive to try to resolve problems by eliminating a human life. - #PopeFrancis,abortion,against
546,"you have to live with that murder I am speechless with rage , hurt and complete disgust.Finding it V.hard to hold my tongue here #SemST",abortion,against
547,"Sadly, most health insurance plans don't cover abortions, so the price can be quite high....",abortion,favor
548,What is the difference between a baby and a onion? No one cries when you chop up the baby.   Hahahahaha! Love dead babies! #Babies #SemST,abortion,favor
549,So unfortunate #thebriefcase @user Adoption isn't always the answer. #SemST,abortion,favor
550,Great college training in Stevens Point today!gen #WRTLCollege #SemST,abortion,none
551,"FACT: 17% of today's population is equivalent to residents in New York, Florida, and Pennsylvania.  Where's the outrage for this?",abortion,none
552,RT @user ...anything that destroys God's gift of motherhood destroys His most precious gift to women #motherteresa #SemST,abortion,against
553,"@user I would like to see poll: How many abortion doctors have told a woman ""No, an abortion is not required in your case. #SemST",abortion,against
554,"@user @user actually noone said they dont consider it life, and an abortion is between a woman and her doctor #SemST",abortion,favor
555,@user As a former fetus I oppose #ProlifeYouth #SemST,abortion,against
556,Some Bitches be scared to kill a little cockroach in their house but quick to kill a baby... #SemST,abortion,against
557,Roe v Wade prevented the biggest crime spree predicted in U.S. history. The guns were there; the criminals weren't. #gunsense #SemST,abortion,none
558,#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter #SemST,abortion,against
559,"@user Oops she did it again Bristol is PREGNANT. Candies is a waste.  U paid her 400,000 for WHAT? PPL Send ur $ to #SemST",abortion,none
560,"I know what's best, for my health. You don't know anything about me.  #SemST",abortion,favor
561,I think Marcus is slightly scared of my radical liberal side #feministally #SemST,abortion,none
562,@user @user @user I despair! I want grandchildren or are they a 'luxury item' #Catholic #SemST,abortion,against
563,"#SignsYoureInTheUSA Doc can pull baby 3/4 way out of the womb, stick a knife in its head 2 kill the child & @user says its OK #SemST",abortion,against
564,"@user 100,000 (estimated) ozzie abortions of vulnerable, unwanted ""unlife""  right there. Value & Respect life. #deathpenalty #SemST",abortion,against
565,"@user @user duh.... Planned pregnancy around election date, new fad. Get with the times. #SemST",abortion,none
566,"Call me an #extremist, but I think #dismembering babies is wrong.youthgen #SemST",abortion,against
567,@user don't need your input but thanks. #womanschoice #controlyourownbody #SemST,abortion,favor
568,". . . abortion is not self-defense, shooting the rapist is Kittington #PJNET #TCOT #SemST",abortion,against
569,SCOTUS has caused more repression and racism in this nation that any other group of people in America. #DredScott #Marriage #SemST,abortion,none
570,@user Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on,abortion,against
571,RT @user .@giannaberettamo @user @user Happy feast of St. Gianna Beretta Molla! May she pray for us! #SemST,abortion,none
572,"Also, abortion is wrong biblically and morally. Imagine never getting a chance to live your life. Think about where you are now. #SemST",abortion,against
573,"@user Complications come with all types of medical procedures, doesn't mean procedure itself should be banned. #DealWithIt #SemST",abortion,favor
574,What doesn't reduce abortions: -Making it illegal  What does: -Sex education  -Caring about the pregnant person... #SemST,abortion,favor
575,RT @user @user try joining the millions of slaughtered unborn CHILDREN robbed of their right to choose. #cdnpoli #SemST,abortion,against
576,"#ProLifeYouth have no chill, and we're dang proud of it. Human rights injustices should never be treated lightly. #prolifegen #SemST",abortion,against
577,#bristolpalin is more proof that #abstinence only education doesn't work. Affordable access to contraception #SemST,abortion,none
578,"Oh look!!! So not only are antichoice strongly against pregnant people's human rights, they're also homophobic. Shocker. (Not) #SemST",abortion,favor
579,@user I don't think I have a right to use someone else's body without consent. Do you? #rapeculture #SemST,abortion,favor
580,#BlackLivesMatter unless they are pre born black lives then they don't matter #AbortionIsMurder #LiberalLogic #SemST,abortion,against
581,People aren't 'pro-life' they're 'pro-birth'. When a mother can't provide what happens then? #SemST,abortion,favor
582,"@user i don't follow the news, is there a new law that ALL gay people have to get married? I'm against that! #SemST",abortion,none
583,"@user The Gods #Law, the #Truth, is being #supressed! They thing they are eternal! #gaymarriage #LoveWins #SemST",abortion,none
584,@user Great job on @user #Scotus should have been eliminated 41 years ago when they called for the murder of children. #SemST,abortion,against
585,@user More #blacks killed by abortion than during #slavery #ConfederateFlag #SemST,abortion,against
586,"@user No, U want 2 limit the doctor's choice & force him/her to help w/ abortions. I want to protect life & human dignity. #SemST",abortion,against
0,"@user Bless Almighty God, Almighty Holy Spirit and the Messiah. #SemST",atheism,against
1,"Take away hatred from some people, and you have men without faith. ~Eric Hoffer #SemST",atheism,against
2,"I took my troubles to the Lord: I cried out to him, and he answered my prayer. Psalm 120:1 #signposts #powerofprayer #SemST",atheism,against
3,You can't think by yourself about life and believe in god. It just doesn't add up #SemST,atheism,favor
4,RT @user Humanist love to everyone at #100AEUAssembly celebrating @user 100th Anniversary! Amazing! #ethicalcu... #SemST,atheism,none
5,"This is #America, so no you cannot make laws based on your #religion. #SemST",atheism,against
6,God is so good! All the praises go up to Him! #SemST,atheism,against
7,"You'd think, after 2,000 years, I would have found at least one person I'd want to tell some things to. But nope.   ~#God   #SemST",atheism,against
8,Daily time in God's Word yields lasting freedom. #assurance #SemST,atheism,against
9,"RT ""...That kind of modesty is too arrogant for me.""Christopher Hitchens 2/2"" #Funny #SemST",atheism,none
10,"It is folly to deny the religious impulse. Just consider Marxism's reliance on its prophet, holy book & promise of future heaven #SemST",atheism,against
11,Looks like I lost about ten followers yesterday. #lol #bye #LoveWins #SemST,atheism,none
12,"If you regularly base your thoughts on superstitions, you might not be able to think well.  #freethinker #SemST",atheism,favor
13,"I will not lack favor for my life, for with favor the Lord will surround me as a shield -Ps. 5:12 #SemST",atheism,against
14,@user @user @user  I have a problem with everyone who is sensationalising news! Crazy how people have forgotten #SemST,atheism,against
15,"RT @user Lord, let me prosper like Abraham -Gen. 24:35 #SemST",atheism,against
16,"If you seek nothing but the will of #God, He will always put you in the right place at the right time. #SemST",atheism,against
17,"no matter what I face, at the end of the day, I know I will be okay, because I know the Maker of the day...         #HappyNote #SemST",atheism,against
18,"Can I tell you a secret? I know who God is and how much He loves us. I love Him, too and just told the world about Him. He is love! #SemST",atheism,against
19,"Just watched the #SCfeatured segment on the life of Manny Pacquiao.  If I wasn't on #TeamPacquiao already, I would be now. #respect #SemST",atheism,none
20,its gonna be worth it. its gonna work out. #SemST,atheism,none
21,My heart and prayers go out to the city of Baltimore. I can only hope for clarity and resolution for the people of that city. #SemST,atheism,against
22,"Dear believers, To prove the book you must NOT read from the book. Regards, an #SemST",atheism,favor
23,@user an hour? You need to buy better weed @user #weed #SemST,atheism,none
24,Our cause is making definite marks. Never stop.   #Think #SemST,atheism,none
25,@user @user @user  ohh .so i think why r u seculr ... nice friend #SemST,atheism,against
26,I would rather stand with #God and be judged by the world than stand with the world and be judged by God. #Godsnotdead #Truth #SemST,atheism,against
27,"@user The same reasons people believe in the Bible, Koran, Talmud, etc. Ignorance. Lack of education. Poverty of intelligence. #SemST",atheism,against
28,God rejoices when we manifest a faith that holds Him to His Word. - Smith Wigglesworth Devotional #SemST,atheism,against
29,"For no one can lay any foundation other than the one that has been laid, that foundation is #Christ. #SemST",atheism,against
30,saw @user at the Essential Festival in Brighton too #khole #SemST,atheism,none
31,"1 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #TeamJesus #SemST",atheism,against
32,I am strong because I am wise and full of knowledge -Prov. 24:5 #SemST,atheism,against
33,"IDC what the bible says, constitution says you can take it and shove it right back where it came from .. We aren't a theocracy. #SemST",atheism,favor
34,Blessed is he who comes in the name of the LORD. From the house of the LORD we bless you. Psalm 118:26 #SemST,atheism,against
35,"RT @user Lord, bless my latter end more than my beginning -Job 42:12 #SemST",atheism,against
36,"We're equal to men, and this makes us morally superior to them #fuckfeminism #EqualityForAll #SemST",atheism,none
37,"After all, is football a game or a religion? ~Howard Cosell #SemST",atheism,none
38,"I look around and find fear, I look up with my Father and find faith. #toGodbetheglory #SemST",atheism,against
39,"When it comes to scientific discoveries, the #religious call them bullshit until their texts already knew it. #SemST",atheism,favor
40,Ali Al Amin #Lebanon Shia' it Leader: from 70s we rejected #Iran regime's conduct W #SemST,atheism,none
41,"I believe that too often religious people do good for the same reasons non-religious do, but they give undo credit to their faith. #SemST",atheism,against
42,Good morning. Praise the LORD; For His mercy endures FOREVER!!! #Repent #USA #JesusIsLord #Hallelujah #PraisetheLord #homosexuality #SemST,atheism,against
43,RT @user I will not allow the enemy to abort any plan of God for my life. #SemST,atheism,against
44,Kip laughing as shed my tears... BT we all know what's gonna hpn in d end #ChildOfGod #SemST,atheism,against
45,"Faith, perseverance and HardWork , is what separates Dreamers from Achievers! #GodFirst #actorslife #Dancer #LetsWork #Vision #Work #SemST",atheism,against
46,My bible study started Mercy Triumphs by @user tonight- have a feeling the next 7 weeks will be amazing. #brothers #believers #SemST,atheism,against
47,"Oh Jesus, We write songs to praise you.#Songwriters #wewrite #Songs #Praiseyou #SemST",atheism,against
48,"No prayer is useless, wasted, or unheard! #powerofprayer #SemST",atheism,against
49,The enemy will not be threatened by your faith until you decide to live by it. #SemST,atheism,against
50,Fill your church with holy fascination for the man Christ Jesus. He is what we need. #worthy #onething #magnificent #obsession #SemST,atheism,against
51,You can look at others with envy or look to God and focus on what He's calling you to become. Dream Kingdom-sized dreams. #Focus #SemST,atheism,against
52,@user @user #Imagine no religion. There's no God. Loving one another unconditionally is what matters. WTG USA! #LoveWins #SemST,atheism,favor
53,"@user Amber Rudd is a joke, trying too much to espouse #Thatcherism. #Greece #BAND AID, help our own, be a human being,  #SemST",atheism,none
54,RT @user Let the gates of my life and city be opened for the King of glory to come in -Ps. 24:7 #SemST,atheism,against
55,"@user says in #PK tht fasting in the name of God is a superstition, but he is fasting during Ramadan and is in Mecca. #SemST",atheism,against
56,It's Ask an Atheist Day! Have a question?   #askanatheist #SemST,atheism,favor
57,"There is POWER in the name of JESUS! Jesus, may the people of north India call upon your name! #missions #SemST",atheism,against
58,"Give us this day our daily bread, and forgive us our sins as we forgive those who sin against us. #rosary #God #teamjesus #SemST",atheism,against
59,"Today you and I have no idea what we will be facing, but #God does and, in Christ, has already supplied everything we need. #SemST",atheism,against
60,@user and it's almost the end!!! #homeschool #curriculum #SemST,atheism,none
61,"You: yes, you. You are a beautiful mammal. The world is better with you around. #UniversalLoveAndAlsoTacos #SemST",atheism,none
62,I hope no one is hurt. #WhoIsBurningBlackChurches #EndRacism #LoveWins #SemST,atheism,against
63,I know why he has to do it. Given the audience and the events. But the God talk in President Obama's speech jars with me. A lot. #SemST,atheism,favor
64,"When we spend time in God's presence, the burdens we carry are transferred from our shoulders to more capable ones--His. #SemST",atheism,against
65,"It's been a really, really bad week for bigots. #LGBT #Equality #Nondiscrimination #SemST",atheism,none
66,Hallelujah! You have overcome! You have overcome! Jesus has overcome the world! @user had 'Victor' in my heart all day!  #SemST,atheism,against
67,"@user if u discriminate based on ur religion, be ready to be discriminated against for having that religion. @user #SemST",atheism,favor
68,Growing up watching David Attenborough is part of the reason I feel the way I do about our planet and my despising of religion. #SemST,atheism,favor
69,"heavens and the earth were one connected entity, then We separated them And We havemade from water every living thing quran 21:30 #SemST",atheism,against
70,Bigoted much? Rt>@RockyMtsunshine no doubt you were there in your pink tights and matching feathers and saw the whole non-thing? #SemST,atheism,against
71,"6 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #God #SemST",atheism,against
72,RT @user A belief in a cruel god makes a cruel man. ~ Thomas Paine  #Christianity #Islam #SacrilegeSu... #SemST,atheism,favor
73,"#Save your people, Lord, and bless those who are yours. Be their #shepherd, and take care of them forever. (Psalm 28:9 GNT) #SemST",atheism,against
74,"10 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #SemST",atheism,against
75,Weeping may endure for a night but JOY comes in the morning. You may be going through a midnight hour-but morning is coming! #God #SemST,atheism,against
76,"In other news, this week FoxNews lost half its viewers due to heart attacks. Well, at least they have Obamacare.    #UniteBIue #SemST",atheism,none
77,"St. Philomena, invincible champion of chastity, pray for us. #Catholic #SemST",atheism,against
78,You'd be blind not to see that this amazing moment in time is not being celebrated by religious zealots. #LoveWins #SemST,atheism,favor
79,"'God ensures justice for orphans and widows and God loves the strangers, providing them with food and clothing.' Deut 10:18. #giving #SemST",atheism,against
80,"One day it'll all make sense, but for now just trust God and let Him lead you. #SemST",atheism,against
81,"Religion causes an arrested social development, which stopped having any sense centuries ago #SemST",atheism,favor
82,@user When r u going to get some balls & stand up against the insanity of god worship. #FuckReligion #FuckJesus #SemST,atheism,favor
83,'Pop may throw in the towel second half.. #SemST,atheism,none
84,Fruity Pebbles might just be the perfect breakfast today. :)  #LoveWins #LoveIsLove #SCOTUSMarriage #LoveNeverFails #Pride2015 #SemST,atheism,none
85,"If you look around you, there is much to be enraptured by. Be awake. #spirituality #SemST",atheism,against
86,Sometimes when things fall apart... that is the big opportunity to change- @user #consciousness #awareness #SemST,atheism,none
87,"It is not the time for posturing, pretending or pontificating, now is the time for #Baltimore #BaltimoreRiots #SemST",atheism,none
88,@user Old age has not made you any wiser or more mature. For shame! #SemST,atheism,none
89,One day...I'm gonna get this thing right with the right one #AlwaysOptimistic #SemST,atheism,none
90,RT @user There is nothing to worry about if you have trusted Jesus Christ alone as your Savior for your sins. #FriendOfSi... #SemST,atheism,against
91,"@user is proud to announce @user will be guest of honor at this year's Halloween party, and Hunger Task Force food drive. #SemST",atheism,none
92,Graveyards owned by the local authority are available to people of all religions or none. #SemST,atheism,none
93,"Jesus wants you to love those that persecute you, not bring them violence. Love them as He loves you. #theword #truth #Love #Peace #SemST",atheism,against
94,"This is eternal life, that they may know You, the only true God, and Jesus Christ whom You have sent. (John 17:3) #GOD #SemST",atheism,against
95,"Seek the whole, genuine truth. Listen to wisdom when He speaks. Catch His heart beat and abide as well as reside in Him.  #SemST",atheism,against
96,I receive Your lovingkindness every morning -Ps. 143:8 #SemST,atheism,against
97,"For every tree is known by his own fruit. For of thorns men do not gather figs, nor of a bramble bush gather they grapes. Luke 6:44 #SemST",atheism,against
98,"And stay in your houses and do not display yourselves like that of the times of ignorance."" [Quran 33:33].#islam #SemST",atheism,against
99,Greater is He who is in you than he who is in the world. - 1John 4:4 #god #bible #SemST,atheism,against
100,sagar wadekar on spirituality: Have you sensed the summons to your journey? #spirituality #SemST,atheism,against
101,You will never control yourself until you confront self as a problem.-Pastor Merritt #Christian #Church #SemST,atheism,against
102,Could all those who believe in a god please leave. The meeting will now continue for the grown ups only. #SemST,atheism,favor
103,"I will not allow the accuser to accuse me, for I am washed and cleansed by the blood of the Lamb -Rev. 1:5; 7:14 #SemST",atheism,against
104,"It's not the donkey or the elephant, it's the Lamb! Only the Lamb that was slain and resurrected can save America. Behold the Lamb! #SemST",atheism,against
105,Evidence-based thought just works out better than superstition-based thought.   #freethinker #SemST,atheism,favor
106,"A #kingdom has a particular #culture, a way of doing things (Ed Welch). #SemST",atheism,none
107,RT @user Ye are the light of the world. A city that is set on an hill cannot be hid. Matthew 5:14 #Shine #BeLight  #SemST,atheism,against
108,Yes Islam is the mother load of bad ideas!  Christianity is not far behind!  #athiest #SemST,atheism,favor
109,"Even if your MIND denied #God, your SOUL will no #islam #SemST",atheism,against
110,Today is the day we finally join other free nations in celebrating equality for all. Long overdue. #LoveWins #SemST,atheism,none
111,Today makes me really happy because we are one step closer to full equality in America  #SemST,atheism,none
112,Imagine living a life where you don't get credit for everything you did well but got the blame for everything you did wrong. #SemST,atheism,none
113,DID YOU KNOW: The 2nd Amendment is in place 'cause politicians ignore the #CONSTITUTION. #PJNET #SOT #tcot #bcot #ccot #2ndAmendment #SemST,atheism,against
114,You cannot expect to walk in the supernatural without the one who is supernatural. #lethimin #Dontdoministryalone #waterwalker  #BOOM #SemST,atheism,against
115,@user I hope they begin to face reality. There's no God. Loving eo unconditionally is what matters. #WakeUpAmerica #Peace #SemST,atheism,against
116,Why criticise religions? If a path is not your own. Don't be pretentious. And get down from your throne. #peace #worldpeace #SemST,atheism,against
117,@user @user when some schools were served soya beans and milk in some of the schools instead of egg there was outrage #SemST,atheism,against
118,"Didn't do what I came out to do today, but God always has a plan #trust #GodisGood #SemST",atheism,against
119,"God is faithful, his gospel is powerful, and the Spirit is transforming. #church #Sunday #SemST",atheism,against
120,"Lk 6:37 KJV  Judge not, and ye shall not be judged: condemn not, and ye shall not be condemned... #SemST",atheism,against
121,"I am not a fool who dies in want of wisdom, but the words from my mouth feed many -Prov. 10:21 #SemST",atheism,against
122,"Verily, verily, I say unto you, The servant is not greater than his lord...  John 13:16 KJV   #LordOfLords  #KingOfKings #SemST",atheism,against
123,"Romans 15:1 We who are powerful need to be patient with the weakness of those who don't have power, and not please ourselves. CEB  #SemST",atheism,against
124,Celebrity atheism is beginning to irk me #initforthemoney #SemST,atheism,against
125,"#Ibrahim Orders Not to Play #Suprabatha Loud #KukkeSubramanya Temple, how come he has not ordered any mosques keep thr rant Quite!! #SemST",atheism,none
126,"The best of you are those who best treat their women. And I am the best of people to my women."" Prophet Mohammad (PBUH #islam #SemST",atheism,against
127,"I think Jesus said it best when He said, ""Don't cum in me Peter.""   #bible #SemST",atheism,favor
128,Nothing lies beyond the reach of prayer except that which lies outside the will of #God. ~Unknown #Quote #TeamJesus #SemST,atheism,against
129,dear lord thank u for all of ur blessings forgive my sins lord give me strength and energy for this busy day ahead #blessed #hope #SemST,atheism,against
130,It will never get old to hear when Christians lead others to ultimate love & hope! #disciples #share #gospel #JesusChangesEverything #SemST,atheism,against
131,'I'm looking for a seed who would stand for identity forever'- Hachhethu #federalism #identity #SemST,atheism,none
132,Just listened to the most inspirational speech from Bonya Ahmed. #BHSVoltaire #intellectualthursday #FightThePower #SemST,atheism,none
133,"Tomorrow is promised to no one, so cherish the people #God has placed in your life today! #SemST",atheism,against
134,"@user @user @user Thomas Jefferson & George Washington did not believe in an afterlife, Thomas Paine was atheist #SemST",atheism,favor
135,Both gods and religion where made up by some folks in antiquity to help explain things.  #freethinker #SemST,atheism,favor
136,"9 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #God #SemST",atheism,against
137,I just fucked what could have been George Michael circa 1989. #flashbackfuck #SemST,atheism,none
138,"Every time I arrive at my home, I'm n constant awe of how much my God loves me .My family is better than urs. I LOVE MY LIFE #Blessed #SemST",atheism,against
139,"#4thJuly 1776 saw independence from the oppression of England. On #July4th 2015, free yourself from the oppression of #religion! #SemST",atheism,against
140,"#U2ieTour Wish the lads would've matured past Christianity, like I did. But I got a science education. They didn't. SoTheyR stuck. #SemST",atheism,favor
141,"Don't be fooled, the prayers of the wicked are useless. #User #SemST",atheism,against
142,"Small steps eradicating bigotry: remove confederate flags, healthcare for all, legalize gay marriage.  #SemST",atheism,none
143,@user Read Article 11 of the Tripoli Treaty in which Pres. John Adams makes clear America is NOT a Christian nation #SemST,atheism,favor
144,Have you sensed the summons to your journey? #spirituality #SemST,atheism,against
145,You have to believe that #God is in control. That means there is no need to be stressed out and worried. #SemST,atheism,against
146,But I am like a green olive tree in the house of God; I will trust in the mercy of God forever and ever -Ps. 52:8 #SemST,atheism,against
147,"On balance, religion does more harm than good.   #freethinker #SemST",atheism,favor
148,@user @user I'd rather go to hell then worship some Image created by whites... #SemST,atheism,favor
149,"RT @user Faithfulness actually means 'full of faith'. Beyond service and commitment, your heart shld be full of faith. #RWAtl #SemST",atheism,against
150,How to be a Happy CAMPER? Competency Autonomy Mastery Purpose Engagement Relationships create well being/meaning #100AEUAssembly #SemST,atheism,none
151,"Wow, unsubstantiated claims about spooks. Remember whe I said there were gullible people? @user #SemST",atheism,none
152,.@TonyMiano  @user  You scam people out of their money selling words of fear  and now claim to have none. Interesting. #SemST,atheism,none
153,"We are what we are. Nothing more, nothing less. #spirituality #SemST",atheism,against
154,@user The establishment clause sets our country apart and prevents the radical religious zealots from taking charge.  Respect it #SemST,atheism,favor
155,#India urges its wealthy temples to bolster the economy with #gold #worldnews #economics #commodities #SemST,atheism,none
156,All these bible studies I've been a part of at UNT makes me  kinda wanna to go to seminary school. #UNT #meangreen #Gospel #SemST,atheism,against
157,The sexiest thing you can carry right now is a BIBLE  #accessory #Christian #SemST,atheism,against
158,so dumb that politicians in the U.S. are obligated to sprinkle in religious language when talking to constituents  #SemST,atheism,favor
159,"Jesus Christ is the same yesterday, today & forever! He is the only constant! He's never failed anybody. #faithful #Friend #Father  #SemST",atheism,against
160,I Appreciate almighty God for waking me up diz beautiful day + giving me brilliant ideas to grow my #Hustle #SemST,atheism,against
161,@user it is. faith means believing in something without evidence and with that you can justify anything. #scary #SemST,atheism,favor
162,"Humble yourselves therefore under the mighty hand of #God, that he may exalt you in due time.  (1 Peter 5:6 KJV) #HolyBible #SemST",atheism,against
163,One don't have to kill the old ones for a newly born !   #Life #Humanity #SemST,atheism,none
164,Religion is the recognition of all our duties as divine commands. ~Immanuel Kant #SemST,atheism,against
165,For the #oppression of the #poor for the sighing of the #needy now will I arise. #Psalms 12:5 #Bible #God #SemST,atheism,against
166,"RT @user ""Faith activates God - Fear activates the Enemy."" ~ Joel Osteen #quotes #SemST",atheism,against
167,@user I can see why it's deleted lol #LoveWins #reasonoverreligion #SemST,atheism,favor
168,RT @user Pray as though everything depended on God. Work as though everything depended on you. #Love #Grace #SemST,atheism,against
169,True education and a free mind is the best weapon against any obstacle. #SAHD  #freethinkers  #homeschooling  #SemST,atheism,favor
170,Be Amazed.....a real unicorns among us #narwhals #SemST,atheism,against
171,The dominance of #Islam becomes evident when a smartphone types #Ramayana as #Ramadan. Allah hu Akbar! #SemST,atheism,against
172,It was great to meet the staff from @user to better understand their roles and how they can help local groups #BHA2015 #SemST,atheism,against
173,Don't wait. The time will never be just right. #thoughtoftheday #JUSTDOIT #SemST,atheism,none
174,"@user @user Yeah, right? Lol wink wink nudge nudge. The greatest part is how ""God's"" playing along! #religiondoesharm #SemST",atheism,favor
175,All we need is to go back to our roots and get closer to nature.  #simplelife #liveeasy #foodforall #goslow #SemST,atheism,none
176,"atheism involves what a person does or does not believe, agnosticism involves what a person does or does not know.  #Waterford #SemST",atheism,none
177,Be still. Be patient. Watch and let God work. #SemST,atheism,against
178,You better go get my ball.... #SemST,atheism,none
179,...because #god made it that way is literally not ever the answer. Keep curiosity alive. #SemST,atheism,favor
180,"You are the strength of my life, Lord. #SemST",atheism,against
181,"I don't want the Government spying on me, I want God doing that. #bible #god #tcot #p2 #SemST",atheism,against
182,"I pray for a hedge of protection around my mind, body, finances, possessions, and family in the name of Jesus. #SemST",atheism,against
183,"Religion lies on a collective apophenia, but you need certain conditions to keep it on and those are disappearing #SemST",atheism,favor
184,"I am your cover girl. I make up for your lacks and deficiencies. I'm your very foundation, see I blend with you perfectly. #SemST",atheism,none
185,"I see more and more people each day question God's work and why he does things. If you believe, you shouldn't have any questions. #SemST",atheism,against
186,Everyone is able to believe in whatever they want. #Freedom #SemST,atheism,favor
187,"Because He has inclined His ear to me, therefore I will call upon Him as long as I live Ps 116:2 #SemST",atheism,against
188,"A win for health care, a win for love. It's been a good two days. #SemST",atheism,none
189,RT @user The man of God is humble in spirit; he retains honor -Prov. 29:23 #SemST,atheism,against
190,Will you fail an already win?...just to call it quits on God?! Believe he will and he can! #SemST,atheism,against
